Frame Number,Processing Time (s),False Positives,False Negatives,True Positives,ID Switches,IoU Sum,MOTA,Precision,Recall,MOTP,IoU per True Positive
324,0.6021602153778076,2,0,0,0,0,0,0.0,0,0,[]
325,0.5951054096221924,2,0,0,0,0,0,0.0,0,0,[]
326,0.5935232639312744,2,0,0,0,0,0,0.0,0,0,[]
327,0.6985936164855957,2,0,0,0,0,0,0.0,0,0,[]
329,0.913668155670166,1,0,0,0,0,0,0.0,0,0,[]
330,0.624136209487915,2,0,0,0,0,0,0.0,0,0,[]
332,0.7502412796020508,1,0,0,0,0,0,0.0,0,0,[]
333,0.7805211544036865,1,0,0,0,0,0,0.0,0,0,[]
334,0.6590535640716553,1,0,0,0,0,0,0.0,0,0,[]
335,0.6876366138458252,1,0,0,0,0,0,0.0,0,0,[]
336,0.791959285736084,1,0,0,0,0,0,0.0,0,0,[]
337,0.7505252361297607,1,0,0,0,0,0,0.0,0,0,[]
338,0.6754803657531738,1,0,0,0,0,0,0.0,0,0,[]
339,0.7029082775115967,1,0,0,0,0,0,0.0,0,0,[]
340,0.7077305316925049,1,0,0,0,0,0,0.0,0,0,[]
341,0.6627583503723145,1,0,0,0,0,0,0.0,0,0,[]
342,0.6647312641143799,1,0,0,0,0,0,0.0,0,0,[]
343,0.6893115043640137,2,0,0,0,0,0,0.0,0,0,[]
344,0.685187578201294,2,0,0,0,0,0,0.0,0,0,[]
345,0.6436429023742676,1,0,0,0,0,0,0.0,0,0,[]
346,0.73809814453125,2,0,0,0,0,0,0.0,0,0,[]
347,0.7635331153869629,1,0,0,0,0,0,0.0,0,0,[]
348,0.9591867923736572,2,0,0,0,0,0,0.0,0,0,[]
349,0.6849639415740967,1,0,0,0,0,0,0.0,0,0,[]
350,0.6385517120361328,2,0,0,0,0,0,0.0,0,0,[]
351,0.7027318477630615,2,0,0,0,0,0,0.0,0,0,[]
352,0.684178352355957,2,0,0,0,0,0,0.0,0,0,[]
353,0.6726052761077881,1,0,0,0,0,0,0.0,0,0,[]
354,0.6232645511627197,2,0,0,0,0,0,0.0,0,0,[]
355,0.7448225021362305,2,0,0,0,0,0,0.0,0,0,[]
356,0.6663429737091064,2,0,0,0,0,0,0.0,0,0,[]
357,0.6873886585235596,1,0,0,0,0,0,0.0,0,0,[]
358,0.6294655799865723,1,0,0,0,0,0,0.0,0,0,[]
359,0.6387083530426025,1,0,0,0,0,0,0.0,0,0,[]
360,0.624824047088623,1,0,0,0,0,0,0.0,0,0,[]
361,0.6821033954620361,1,0,0,0,0,0,0.0,0,0,[]
362,0.8079450130462646,1,0,0,0,0,0,0.0,0,0,[]
363,0.6982994079589844,2,0,0,0,0,0,0.0,0,0,[]
364,0.6234524250030518,2,0,0,0,0,0,0.0,0,0,[]
365,0.6042804718017578,2,0,0,0,0,0,0.0,0,0,[]
366,0.6309492588043213,2,0,0,0,0,0,0.0,0,0,[]
367,0.5760195255279541,2,0,0,0,0,0,0.0,0,0,[]
368,0.5714383125305176,2,0,0,0,0,0,0.0,0,0,[]
369,0.612635612487793,1,0,0,0,0,0,0.0,0,0,[]
370,0.7214982509613037,1,0,0,0,0,0,0.0,0,0,[]
371,0.7023742198944092,2,0,0,0,0,0,0.0,0,0,[]
373,0.5340678691864014,2,0,0,0,0,0,0.0,0,0,[]
374,0.5182008743286133,2,0,0,0,0,0,0.0,0,0,[]
375,0.5897142887115479,1,0,0,0,0,0,0.0,0,0,[]
376,0.6007232666015625,2,0,0,0,0,0,0.0,0,0,[]
377,0.6697835922241211,2,0,0,0,0,0,0.0,0,0,[]
378,0.8279592990875244,1,0,0,0,0,0,0.0,0,0,[]
379,0.7133517265319824,1,0,0,0,0,0,0.0,0,0,[]
380,0.539574146270752,1,0,0,0,0,0,0.0,0,0,[]
381,0.5183489322662354,2,0,0,0,0,0,0.0,0,0,[]
382,0.48844003677368164,1,0,0,0,0,0,0.0,0,0,[]
383,0.49686622619628906,2,0,0,0,0,0,0.0,0,0,[]
384,0.4815402030944824,1,0,0,0,0,0,0.0,0,0,[]
385,0.4897739887237549,1,0,0,0,0,0,0.0,0,0,[]
386,0.4801828861236572,1,0,0,0,0,0,0.0,0,0,[]
389,0.48543500900268555,2,0,0,0,0,0,0.0,0,0,[]
390,0.4849894046783447,2,0,0,0,0,0,0.0,0,0,[]
38,0.49759984016418457,1,0,0,0,0,0,0.0,0,0,[]
39,0.4893050193786621,1,0,0,0,0,0,0.0,0,0,[]
120,0.48769283294677734,1,0,0,0,0,0,0.0,0,0,[]
308,0.5021233558654785,1,0,0,0,0,0,0.0,0,0,[]
328,0.49333643913269043,1,0,0,0,0,0,0.0,0,0,[]
